measurement_id,temperature_degC,depth_m
12,-10.439277,88.09524
12,-10.718347,98.25397
12,-10.759689999999999,108.835976
12,-10.770026,117.08995
13,-11.302325,13.809524
13,-11.410852,18.730158
13,-11.503876,29.523809999999997
13,-11.689922,34.444443
13,-11.488372,39.20635
13,-11.581395,50.0
13,-11.472868,60.31746
13,-11.612403,71.111115
13,-11.379845,81.216934
14,-10.987081,17.301588
14,-10.976745,27.883598
14,-11.255813999999999,48.624340000000004
14,-11.359173,58.783069999999995
14,-11.379845,64.07406999999999
14,-11.452196,69.36508
14,-11.26615,74.44444
14,-11.328165,79.84127
15,-13.803279000000002,5.0983605
15,-14.401639000000001,5.983606299999999
15,-14.549179999999998,8.0
15,-14.204918,9.967213000000001
15,-13.950820000000002,11.983606
15,-13.745902,14.0
15,-13.696720999999998,16.065575
15,-13.655738000000001,18.032787
15,-13.442623000000001,19.950819
15,-13.696720999999998,22.016394000000002
15,-13.696720999999998,24.032787
15,-13.557376999999999,26.0
15,-13.385245999999999,28.016394000000002
15,-13.385245999999999,28.016394000000002
16,-11.937717,5.257647
16,-11.790016,5.4085894
16,-11.420751,5.761274
16,-11.273238000000001,6.257609400000001
16,-11.339350999999999,7.045782000000001
16,-11.577713000000001,7.5345016000000005
16,-11.873572,8.071428
16,-12.062619999999999,8.462436
16,-12.153255,9.052755
16,-12.449358,10.033759
16,-12.860941,11.9993305
16,-12.927781,14.119732999999998
16,-12.952924000000001,15.056742000000002
16,-13.036642,18.015629999999998
16,-13.111666,20.08653
16,-13.163622,25.019743
16,-13.141742,30.053095000000003
16,-13.070575,35.03808
17,-2.1592605,5.039085
17,-3.2681465,5.991604
17,-5.371360299999999,8.040639
17,-7.092378999999999,10.043352
17,-8.087285000000001,12.048959
17,-8.680949,14.104013
17,-8.987928,16.064518
17,-9.161180499999999,18.0734
17,-9.277107,20.082514
17,-9.564948,21.995245
17,-9.795494,23.956055
17,-10.026100999999999,26.012556
17,-10.065596000000001,28.021973
17,-10.066935,30.127235
18,-8.331189,4.966629
18,-7.357278,5.9274526
18,-5.715339,8.087114999999999
18,-4.5700927,10.053409
18,-3.9407989999999997,12.065493
18,-3.5981589999999994,14.124279999999999
18,-3.6567314,16.085773
18,-3.6962260000000002,18.09519
18,-3.7738757000000005,20.008762
18,-3.966297,22.113262
19,-3.9362957,4.984153
19,-4.6821556,5.9859656999999995
19,-4.0732783999999995,10.055389
19,-2.3949492,15.086018
19,-2.6306071,25.085104
20,0.00126531,0.97873795
20,-0.0464741,1.9159636000000002
20,-0.1465129,2.967782
20,-0.1906092,4.01841
20,-0.22084829999999997,4.9694486
20,-0.1950714,5.9760349999999995
20,-0.1552906,6.996508599999999
20,-0.09799110000000001,8.044979
20,-0.054750599999999996,9.037009
20,-0.029010400000000006,10.015226
21,-0.3833762,0.9585521999999999
21,-0.6093957,1.9279412
21,-0.9948745999999999,3.9645980000000005
21,-1.0534516999999999,4.6325392999999995
21,-1.0561228,5.2709209999999995
21,-1.0202053,6.0077767
21,-0.8043204,8.017453
21,-0.6688713000000001,10.014656
22,-1.490527,1.9183195
22,-1.7884856,4.038224
22,-1.8539089,4.819791
22,-1.8776319,5.4018807
22,-1.8943436999999999,5.998006299999999
22,-1.8972533,6.451988
22,-1.8755596999999997,7.004741
22,-1.8399904999999999,7.47209
22,-1.7797996999999999,8.052394
22,-1.6490939999999998,9.085117
22,-1.4870671999999998,10.003695
23,0.0,10.0
24,0.0,10.0
25,0.0,10.0
26,-5.872063,0.042611800000000005
26,-4.8074512,0.9091651
26,-4.6818266,1.9575582999999999
26,-4.4957705,2.9645297999999998
26,-3.9866745000000003,3.9256589999999996
26,-3.2549474,4.9840503
26,-2.4627886,6.001020400000001
26,-1.7273203999999998,7.948240299999999
26,-1.3392582,8.951811
26,-0.5672998,9.969121000000001
27,-3.649743,0.03969863
27,-2.8577542,0.9388299999999999
27,-2.267431,2.0017311999999996
27,-2.2026633999999996,2.992527
27,-1.7137683999999997,3.9559260000000003
27,-1.4469097,4.963556
27,-1.2101819999999999,6.012179
27,-1.0747122,7.001782400000001
27,-0.4704629,8.975367
27,-0.6278166000000001,9.990152
28,-3.922451,0.03509836
28,-3.261596,0.9861276
28,-3.1463267999999998,1.9760718000000002
28,-2.9500852,3.0051353
28,-2.4713755,3.9484633999999996
28,-1.9215384999999998,4.991804599999999
28,-1.0443262,7.0215119999999995
28,-0.8282241,7.96927
28,-0.5208792999999999,8.99646
28,-0.3752242,10.006134
29,-11.157803999999999,1.07390538
29,-12.924858,1.35395635
29,-12.783553999999999,1.64801961
29,-11.062808,1.9570634999999998
29,-10.066324,2.24860854
29,-8.467406,2.85249061
29,-8.06297,3.14577893
29,-7.527617,3.4190498
29,-6.9251823,3.7313872000000003
29,-6.4549637,4.02448166
30,0.0310559,5.0746269999999996
30,0.01552795,10.0
30,-0.015528,15.0
30,-0.015528,19.925373
31,-0.08902080000000001,5.053381
31,-0.074184,9.964413
31,-0.029673599999999998,14.982206
31,-0.015528,20.0
32,0.01866715,5.1173058
32,-0.1376589,10.053134
32,-0.8646406999999999,15.056920999999999
32,-0.8558933000000001,20.066011
33,-11.142745,3.1406967999999997
33,-14.257251,5.05122
33,-14.419406,6.978486
33,-14.327797,9.020614
33,-14.013867000000001,11.007292
33,-13.953903,12.992529
33,-13.957431,14.977406
33,-13.834176000000001,17.076424
33,-13.86945,19.061121
33,-13.841332000000001,21.10289
33,-13.939895000000002,22.973804
33,-13.848486999999999,25.129354
33,-13.851913,27.057522
33,-13.823595000000001,28.985867
34,-13.381817999999999,0.9696969999999999
34,-15.069091,1.9393939999999998
34,-15.010909,3.030303
34,-13.672728,4.0
34,-10.647273,6.0
34,-7.447273,7.969697
34,-5.12,9.969697
34,-3.6654546000000003,11.939394
34,-2.909091,14.030303
35,-10.634601,0.9817033000000002
35,-10.641743,2.0142412
35,-10.474553,2.9863717999999997
35,-10.133662,3.989201
35,-9.10427,6.025889
35,-8.653951,7.97037
35,-8.435722,9.944778999999999
35,-8.333853999999999,11.979707000000001
35,-8.347716,13.984045000000002
36,-2.54717,2.3268697
36,-1.0916442,3.1578948
36,-0.4447439,3.6565095999999997
36,-0.24258760000000001,4.819944400000001
36,-0.4447439,6.1495843
36,-1.1725067,8.144044000000001
36,-1.981132,10.138504
36,-2.708895,11.966759
36,-2.7897575,13.961219
36,-2.4663072,18.116343
36,-1.0107815999999998,28.088642
36,-1.981132,38.227146000000005
36,-5.619946,58.171744999999994
36,-7.964959599999999,78.44875
36,-8.733153,98.22715
36,-8.61186,118.00554
37,-9.118269999999999,9.832344
37,-8.612353,20.040526999999997
37,-9.495749,30.041816999999998
37,-10.318810000000001,39.771167999999996
37,-10.698857,49.74987
37,-10.937897999999999,59.99148
37,-10.9556,69.68469
37,-11.013501,79.64894
37,-11.031068,89.880615
37,-10.927897999999999,99.83764000000001
37,-10.941343,126.49238600000001
38,-6.963661999999999,10.812597
38,-7.22412,15.939727
38,-7.806790400000001,20.812079999999998
38,-8.38946,25.684435
38,-8.972062,30.82602
38,-9.131917999999999,35.6794
38,-9.231304,40.7993
38,-9.330689999999999,45.919205
38,-9.490547,50.772587
38,-9.670469,55.896103000000004
