study_id,title,first_author,year,catalogued,doi
11.0,The Internal Structure of a Cirque Glacier: Report on Studies of the Englacial Movements and Temperatures,McCall,1952,False,10.3189/S0022143000034092
50.0,Polythermal structure of a Himalayan debris-covered glacier revealed by borehole thermometry,Miles,2018,True,10.1038/s41598-018-34327-5
51.0,On the Thermal Regime of a High-Arctic Valley Glacier,Müller,1976,True,10.3189/S0022143000031476
52.0,"ICE THICKNESS, ABLATION, AND OTHER GLACIOLOGICAL MEASUREMENTS ON UPPER FREMONT GLACIER, WYOMING",Naftz,1993,True,10.1080/02723646.1993.10642488
53.0,Temperature reconstruction for Arctic glaciers,Nagornov,2006,False,10.1016/j.palaeo.2005.11.035
54.0,"Comparison of radio-echo sounding (30–1000 MHz) and high-resolution borehole-temperature measurements at Finsterwalderbreen, southern Spitsbergen, Svalbard",Odegard,1997,True,10.3189/S0260305500012271
12.0,"Temperature Distribution in the Upper Layers of the Ablation Area of Athabasca Glacier, Alberta, Canada",Paterson,1972,True,10.3189/S0022143000022462
55.0,"Temperature Measurements in Athabasca Glacier, Alberta, Canada",Paterson,1971,True,10.3189/S0022143000022036
56.0,"Cold surface layer thinning on Storglaciären, Sweden, observed by repeated ground penetrating radar surveys",Petterson,2003,True,10.1029/2003JF000024
58.0,Cold ice in the ablation zone: Its relation to glacier hydrology and ice water content,Ryser,2013,True,10.1029/2012JF002526
59.0,"Net accumulation rates derived from ice core stable isotope records of Pío XI glacier, Southern Patagonia Icefield",Schwikowski,2013,True,10.5194/tc-7-1635-2013
13.0,"Thermal Regimen of Firn on Upper Seward Glacier, Yukon Territory, Canada",Sharp,1951,True,10.3189/S0022143000026460
60.0,"Characteristics of a crater glacier at Ushkovsky volcano, Kamchatka, Russia, as revealed by the physical properties of ice cores and borehole thermometry",Shiraiwa,2001,True,10.3189/172756501781832061
14.0,"Internal Deformation and Thermal Anomalies in Lower Blue Glacier, Mount Olympus, Washington, U.S.A.",Shreve,1970,False,10.3189/S0022143000026800
61.0,Analysis of ice temperatures of four selected very small glaciers in the Swiss Alps by means of modelling and ground penetrating radar,Signer,2014,True,
62.0,"Snow accumulation, melt, mass loss, and the near-surface ice temperature structure of Irenebreen, Svalbard",Sobota,2011,True,10.1016/j.polar.2011.06.003
63.0,"Thermal regime of a valley glacier, Erikbreen, northern Spitsbergen",Strand Odegard,1992,True,10.3402/polar.v11i2.6718
64.0,"Twentieth century warming reflected by the Malan Glacier borehole temperatures, northern Tibetan Plateau",Sun,2021,True,10.1080/15230430.2021.1974667
15.0,Cold firn and ice of high-altitude glaciers in the Alps: measurements and distribution modelling,Suter,2001,True,10.3189/172756501781832566
65.0,"Cold firn and ice in the Monte Rosa and Mont Blanc areas: spatial occurrence, surface energy balance and climatic evidence",Suter,2002,True,10.3929/ethz-a-004288434
66.0,"Glacial Stage Ice-Core Records from the Subtropical Dunde Ice Cap, China",Thompson,1990,True,10.3189/S0260305500008776
67.0,"Ice core records of climate variability on the Third Pole with emphasis on the Guliya ice cap, western Kunlun Mountains",Thompson,2018,True,10.1016/j.quascirev.2018.03.003
68.0,Estimation and Effects of Internal Accumulation on Five Glaciers in Alaska,Trabant,1985,False,10.3189/1985AoG6-1-113-117
16.0,"Climate warming revealed by englacial temperatures at Col du Dôme (4250 m, Mont Blanc area)",Vincent,2007,True,10.1029/2007GL029933
69.0,Strong changes in englacial temperatures despite insignificant changes in ice thickness at Dôme du Goûter glacier (Mont Blanc area),Vincent,2020,True,10.5194/tc-14-925-2020
70.0,Strong influence of geothermal heat on the physical properties of glacier ice in the Tibetan Plateau,Wang,2005,True,10.3189/S0022143000215207
71.0,"An investigation of the thermomechanical features of Laohugou Glacier No. 12 on Qilian Shan, western China, using a two-dimensional first-order flow-band ice flow model",Wang,2018,True,10.5194/tc-12-851-2018
72.0,Comparison of thermal structure and evolution between neighboring subarctic glaciers,Wilson,2013,False,10.1002/jgrf.20096
73.0,Influence of air temperature on a glacier’s active-layer temperature,Zagorodnov,2006,True,10.3189/172756406781812203
74.0,"Observed and modelled ice temperature and velocity along the main flowline of East Rongbuk Glacier, Qomolangma (Mount Everest), Himalaya",Zhang,2013,True,10.3189/2013JoG12J202
