study_id,measurement_id,temperature_degC,depth_m,to_bottom,Unnamed: 5,Unnamed: 6,Unnamed: 7
6,8,-12.151345,22.74715,True,,,
6,8,-12.160077000000001,24.635315,True,,,
6,8,-12.302334,27.423859000000004,True,,,
6,8,-12.361083,29.393099,True,,,
6,8,-12.378305000000001,32.020004,True,,,
6,8,-12.428825999999999,34.482025,True,,,
6,8,-12.445944,36.61632,True,,,
6,8,-12.479938,39.735496999999995,True,,,
6,9,-11.029793,12.78111,False,,,
6,9,-11.286482000000001,18.13983,False,,,
6,9,-11.5763645,22.841054999999997,False,,,
6,9,-11.610114,24.810807999999998,False,,,
6,9,-11.688332,26.889115999999998,False,,,
6,9,-11.766502000000001,28.748487,False,,,
6,9,-11.878077000000001,30.935581,False,,,
6,9,-11.800692999999999,32.798145,False,,,
6,10,-9.106931,9.75544,True,,,
6,10,-8.575752,19.946976,True,,,
6,10,-9.48892,29.670990000000003,True,,,
6,10,-10.302203,39.9444,True,,,
6,10,-10.704285,49.788371999999995,True,,,
6,10,-10.917456,59.526752,True,,,
6,10,-10.986298,69.815445,True,,,
6,10,-11.04396,79.77595500000001,True,,,
6,10,-10.980048,92.8041,True,,,
6,10,-10.948242,100.02972,True,,,
6,10,-10.96477,125.645164,True,,,
6,11,-6.940505,10.894599000000001,False,,,
6,11,-7.186013000000001,15.925141,False,,,
6,11,-7.809344,21.166868,False,,,
6,11,-8.399249000000001,25.971403,False,,,
6,11,-8.966931,30.776396000000002,False,,,
6,11,-9.156908,35.91755,False,,,
6,11,-9.224592,40.732803000000004,False,,,
6,11,-9.325633999999999,45.65684,False,,,
6,11,-9.504453,50.579285,False,,,
6,11,-9.683294,55.611194999999995,False,,,
6,11,-9.895538,60.97083000000001,False,,,
6,11,-10.129843,65.56371999999999,False,,,
6,11,-10.330954,70.81411999999999,False,,,
6,11,-10.34262,73.44114,False,,,
6,11,-10.643568,77.92319499999999,False,,,
6,11,-10.766877000000001,83.06572,False,,,
6,11,-10.923613000000001,88.645424,False,,,
6,11,-10.991228,93.13228000000001,False,,,
6,11,-11.07007,98.16624,False,,,
6,11,-11.048913,103.20225500000001,False,,,
6,11,-11.049932,108.018875,False,,,
6,11,-11.028891,113.60224,False,,,
6,12,-8.796028999999999,10.747044,False,,,
6,12,-8.685429,13.157635999999998,False,,,
6,12,-8.541516,15.678381,False,,,
6,12,-8.38654,18.418291,False,,,
6,12,-8.199041000000001,24.990289999999998,False,,,
6,12,-8.334503999999999,35.058673999999996,False,,,
6,12,-8.803251,44.90128,False,,,
6,12,-9.327555,54.742743999999995,False,,,
6,12,-9.718502,64.47748,False,,,
6,12,-10.109589,74.86901999999999,False,,,
6,12,-10.422782000000002,84.71481,False,,,
6,12,-10.724910000000001,94.77978,False,,,
6,12,-10.749239,104.740974,False,,,
6,12,-10.750882,112.51325,False,,,
6,13,-11.263264999999999,13.433132,True,,,
