study_id,measurement_id,temperature_degC,depth_m,Unnamed: 4,Unnamed: 5,Unnamed: 6
6,2,-11.038758999999999,13.015873,,,
6,2,-11.302325,18.253970000000002,,,
6,2,-11.581395,23.492064000000003,,,
6,2,-11.643411,25.714285,,,
6,2,-11.674418,27.619047,,,
6,2,-11.767441999999999,29.682539000000002,,,
6,2,-11.875969,32.06349,,,
6,2,-11.813953,33.809525,,,
6,3,-9.126615,9.78836,,,
6,3,-8.609819,20.37037,,,
6,3,-9.509044,30.63492,,,
6,3,-10.335917,41.32275,,,
6,3,-10.749353999999999,51.587303000000006,,,
6,3,-10.925065,61.957671999999995,,,
6,3,-11.007750999999999,72.43386,,,
6,3,-11.049095,82.91005,,,
6,3,-11.049095,92.96296,,,
6,3,-10.935400999999999,103.756615,,,
6,3,-10.966409,130.42328,,,
6,4,-6.976744,11.1640215,,,
6,4,-7.1937985,16.455026999999998,,,
6,4,-7.793281599999999,21.322751999999998,,,
6,4,-8.423772999999999,26.825397,,,
6,4,-8.981913,32.1164,,,
6,4,-9.198966,37.301586,,,
6,4,-9.219638,41.957671999999995,,,
6,4,-9.343669,47.67196,,,
6,4,-9.498708,52.539683999999994,,,
6,4,-9.705426,57.93651,,,
6,4,-10.149871000000001,68.51852,,,
6,4,-10.366925,73.280426,,,
6,4,-10.408269,76.031746,,,
6,4,-10.635659,81.216934,,,
6,4,-10.770026,86.296295,,,
6,4,-10.904392999999999,91.48148,,,
6,4,-10.9974165,96.666664,,,
6,4,-11.090439,101.85185,,,
6,4,-11.049095,107.56613999999999,,,
6,4,-11.069767,112.22222,,,
6,4,-11.028423,117.83068999999999,,,
6,5,-8.826874,11.058200999999999,,,
6,5,-8.702843,13.597883,,,
6,5,-8.55814,16.243385,,,
6,5,-8.382429,18.783070000000002,,,
6,5,-8.206717999999999,25.449735999999998,,,
6,5,-8.351421,35.820107,,,
6,5,-8.826874,46.402115,,,
6,5,-9.343669,56.984127,,,
6,5,-9.498708,67.3545,,,
6,5,-10.160207000000002,77.40741,,,
6,5,-10.439277,88.09524,,,
6,5,-10.718347,98.25397,,,
6,5,-10.759689999999999,108.835976,,,
6,5,-10.770026,117.08995,,,
6,6,-11.302325,13.809524,,,
6,6,-11.410852,18.730158,,,
6,6,-11.503876,29.523809999999997,,,
6,6,-11.689922,34.444443,,,
6,6,-11.488372,39.20635,,,
6,6,-11.581395,50.0,,,
6,6,-11.472868,60.31746,,,
6,6,-11.612403,71.111115,,,
6,6,-11.379845,81.216934,,,
6,7,-10.987081,17.301588,,,
6,7,-10.976745,27.883598,,,
6,7,-11.255813999999999,48.624340000000004,,,
6,7,-11.359173,58.783069999999995,,,
6,7,-11.379845,64.07406999999999,,,
6,7,-11.452196,69.36508,,,
6,7,-11.2661495,74.44444,,,
6,7,-11.328165,79.84127,,,
8,1,-13.803279000000002,5.0983605,,,
8,1,-14.401639000000001,5.983606299999999,,,
8,1,-14.549179999999998,8.0,,,
8,1,-14.204918,9.967213000000001,,,
8,1,-13.950820000000002,11.983606,,,
8,1,-13.745902,14.0,,,
8,1,-13.696720999999998,16.065575,,,
8,1,-13.655738000000001,18.032787,,,
8,1,-13.442623000000001,19.950819,,,
8,1,-13.696720999999998,22.016394000000002,,,
8,1,-13.696720999999998,24.032787,,,
8,1,-13.557376999999999,26.0,,,
8,1,-13.385245999999999,28.016394000000002,,,
8,1,-13.385245999999999,28.016394000000002,,,
8,2,-11.937716499999999,5.257647,,,
8,2,-11.790016,5.4085894,,,
8,2,-11.420751,5.761274,,,
8,2,-11.273238000000001,6.257609400000001,,,
8,2,-11.339350999999999,7.045782000000001,,,
8,2,-11.577713000000001,7.5345016000000005,,,
8,2,-11.873572,8.071428,,,
8,2,-12.062619999999999,8.462436,,,
8,2,-12.153255,9.052755,,,
8,2,-12.449358,10.033759,,,
8,2,-12.860941,11.9993305,,,
8,2,-12.927781,14.119732999999998,,,
8,2,-12.952924000000001,15.056742000000002,,,
8,2,-13.036642,18.015629999999998,,,
8,2,-13.111666,20.08653,,,
8,2,-13.163622,25.019743,,,
8,2,-13.141742,30.053095000000003,,,
8,2,-13.070575,35.03808,,,
8,3,-2.1592605,5.039085,,,
8,3,-3.2681465,5.991604,,,
8,3,-5.371360299999999,8.040639,,,
8,3,-7.092378999999999,10.043352,,,
8,3,-8.087285000000001,12.048959,,,
8,3,-8.680949,14.104013,,,
8,3,-8.987928,16.064518,,,
8,3,-9.161180499999999,18.0734,,,
8,3,-9.277107,20.082514,,,
8,3,-9.564948,21.995245,,,
8,3,-9.795494,23.956055,,,
8,3,-10.026100999999999,26.012556,,,
8,3,-10.065596000000001,28.021973,,,
8,3,-10.066935,30.127235,,,
8,4,-8.331189,4.966629,,,
8,4,-7.357278,5.9274526,,,
8,4,-5.715339,8.087114999999999,,,
8,4,-4.5700927,10.053409,,,
8,4,-3.9407989999999997,12.065493,,,
8,4,-3.5981589999999994,14.124279999999999,,,
8,4,-3.6567314,16.085773,,,
8,4,-3.6962260000000002,18.09519,,,
