study_id,first_author,year,title,included,url,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24
62,I. Sobota,2011,"Snow accumulation, melt, mass loss, and the near-surface ice temperature structure of Irenebreen, Svalbard",True,https://doi.org/10.1016/j.polar.2011.06.003,,,,,,,,,,,,,,,,,,,
63,Rune Strand Ødegård ,1992,"Thermal regime of a valley glacier, Erikbreen, northern Spitsbergen",True,https://doi.org/10.3402/polar.v11i2.6718,,,,,,,,,,,,,,,,,,,
64,Huan Sun,2021,"Twentieth century warming reflected by the Malan Glacier borehole temperatures, northern Tibetan Plateau",True,https://doi.org/10.1080/15230430.2021.1974667,,,,,,,,,,,,,,,,,,,
65,Stephan Suter,2002,"Cold firn and ice in the Monte Rosa and Mont Blanc areas: spatial occurrence, surface energy balance and climatic evidence",True,https://doi.org/10.3929/ethz-a-004288434,,,,,,,,,,,,,,,,,,,
66,Lonnie G. Thompson,1990,"Glacial Stage Ice-Core Records from the Subtropical Dunde Ice Cap, China",True,https://doi.org/10.3189/S0260305500008776,,,,,,,,,,,,,,,,,,,
67,Lonnie G. Thompson,2018,"Ice core records of climate variability on the Third Pole with emphasis on the Guliya ice cap, western Kunlun Mountains",True,https://doi.org/10.1016/j.quascirev.2018.03.003,,,,,,,,,,,,,,,,,,,
69,Christian Vincent,2020,Strong changes in englacial temperatures despite insignificant changes in ice thickness at Dôme du Goûter glacier (Mont Blanc area),True,https://doi.org/10.5194/tc-14-925-2020,,,,,,,,,,,,,,,,,,,
70,Ninglian Wang,2005,Strong influence of geothermal heat on the physical properties of glacier ice in the Tibetan Plateau,True,https://doi.org/10.3189/S0022143000215207,,,,,,,,,,,,,,,,,,,
71,Yuzhe Wang,2018,"An investigation of the thermomechanical features of Laohugou Glacier No. 12 on Qilian Shan, western China, using a two-dimensional first-order flow-band ice flow model",True,https://doi.org/10.5194/tc-12-851-2018,,,,,,,,,,,,,,,,,,,
73,V. Zagorodnov,2006,Influence of air temperature on a glacier’s active-layer temperature,True,https://doi.org/10.3189/172756406781812203,,,,,,,,,,,,,,,,,,,
74,Tong Zhang,2013,"Observed and modelled ice temperature and velocity along the main flowline of East Rongbuk Glacier, Qomolangma (Mount Everest), Himalaya",True,https://doi.org/10.3189/2013JoG12J202,,,,,,,,,,,,,,,,,,,
75,David F. Classen ,1977,Temperature profiles for the Barnes Ice Cap surge zone,True,https://doi.org/10.3189/S0022143000021079,,,,,,,,,,,,,,,,,,,
76,Adrien Gilbert,2016,"Sensitivity of Barnes Ice Cap, Baffin Island, Canada, to climate state and internal dynamics",True,https://doi.org/10.1002/2016JF003839,,,,,,,,,,,,,,,,,,,
78,GEUS | William Colgan,2022,GEUS Greenland Temperature Project,True,,,,,,,,,,,,,,,,,,,,
79,Gwen Flowers,2022,Personal communication,True,,,,,,,,,,,,,,,,,,,,
80,Gwen Flowers,2022,Personal communication,True,,,,,,,,,,,,,,,,,,,,
81,Gwenn Flowers,2022,Personal communication,True,,,,,,,,,,,,,,,,,,,,
82,Shin Sugiyama,2019,"Subglacial water pressure and ice speed variations at Johnsons Glacier, Livingston Island, Antarctic Peninsula",True,https://doi.org/10.1017/jog.2019.45,,,,,,,,,,,,,,,,,,,
83,ICIMOD | Tika Gurung ,2022,Personal communication,True,,,,,,,,,,,,,,,,,,,,
3,Joel Fisher,1953,"The Cold Ice Tunnel on the Silbersattel, Monte Rosa: Preliminary Report",False,https://doi.org/10.3189/S0022143000025703,,,,,,,,,,,,,,,,,,,
4,Joel Fisher,1955,Internal Temperatures of a Cold Glacier and Conclusions Therefrom,False,https://doi.org/10.3189/002214355793702163,,,,,,,,,,,,,,,,,,,
9,Louis Lliboutry,1976,15m Deep Temperatures in the Glaciers of Mont Blanc (French Alps),False,https://doi.org/10.3189/S0022143000031531,,,,,,,,,,,,,,,,,,,
11,J. G. McCall,1952,The Internal Structure of a Cirque Glacier: Report on Studies of the Englacial Movements and Temperatures,False,https://doi.org/10.3189/S0022143000034092,,,,,,,,,,,,,,,,,,,
14,R. L. Shreve,1970,"Internal Deformation and Thermal Anomalies in Lower Blue Glacier, Mount Olympus, Washington, U.S.A.",False,https://doi.org/10.3189/S0022143000026800,,,,,,,,,,,,,,,,,,,
20,Joel Brown,2009,"A radar transparent layer in a temperate valley glacier: Bench Glacier, Alaska",False,https://doi.org/10.1002/esp.1835,,,,,,,,,,,,,,,,,,,
22,Garry Clarke,1991,"Geometric and thermal evolution of a surge-type glacier in its quiescent state: Trapridge Glacier, Yukon Territory, Canada, 1969-89",False,https://doi.org/10.3189/S002214300004291X,,,,,,,,,,,,,,,,,,,
42,Maohuan Huang,1982,On the Temperature Regime of Continental-Type Glaciers in China,False,https://doi.org/10.3189/S0022143000011837,,,,,,,,,,,,,,,,,,,
43,Adrien Gilbert,2018,"Mechanisms leading to the 2016 giant twin glacier collapses, Aru Range, Tibet",False,https://doi.org/10.5194/tc-12-2883-2018,,,,,,,,,,,,,,,,,,,
44,Wilfried Haeberli,1985,Temperature and Accumulation of High Altitude Firn in the Alps,False,https://doi.org/10.3189/1985AoG6-1-161-163,,,,,,,,,,,,,,,,,,,
45,F. Karner,2013,"A decade of energy and mass balance investigations on the glacier Kongsvegen, Svalbard",False,https://doi.org/10.1029/2012JD018342,,,,,,,,,,,,,,,,,,,
49,F. Loewe ,1970,Screen Temperatures and 10m Temperatures*,False,https://doi.org/10.3189/S0022143000023571,,,,,,,,,,,,,,,,,,,
53,Oleg V. Nagornov,2006,Temperature reconstruction for Arctic glaciers,False,https://doi.org/10.1016/j.palaeo.2005.11.035,,,,,,,,,,,,,,,,,,,
68,D. C. Trabant,1985,Estimation and Effects of Internal Accumulation on Five Glaciers in Alaska,False,https://doi.org/10.3189/1985AoG6-1-113-117,,,,,,,,,,,,,,,,,,,
72,Nat H. Wilson,2013,Comparison of thermal structure and evolution between neighboring subarctic glaciers,False,https://doi.org/10.1002/jgrf.20096,,,,,,,,,,,,,,,,,,,
77,Roger LeB. Hooke,1980,"Temperature profiles in the Barnes Ice Cap, Baffin Island, Canada, and heat flux from the subglacial terrane",False,https://doi.org/10.1139/e80-124,,,,,,,,,,,,,,,,,,,
84,Prinz,2022,Personal communication,,,,,,,,,,,,,,,,,,,,,
85,Hart,2015,,,,,,,,,,,,,,,,,,,,,,
86,Hughes,1939,,,,,,,,,,,,,,,,,,,,,,
